candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
blend_3anchor_srl_50_30_20,0.6239795252291442,0.8323977546110666,0.38172527590456706,"[1.8668160158609766, 2.3871276823963563, 2.9625742775564605, 3.7189705665985375]",0.012028869286287103,0.22608892213796333,"{1: 270, 2: 136, 3: 84, 4: 67, 5: 39}","{1: 124, 2: 75, 3: 42, 4: 38, 5: 19}","{1: 146, 2: 61, 3: 42, 4: 29, 5: 20}","{'specter_3s': 0.5, 'ridge_5x5': 0.3, 'llm_zs': 0.2}"
blend_3anchor_srl_50_25_25,0.6145660013611275,0.8448275862068966,0.37856788821154713,"[1.8169614952395094, 2.3785201708285815, 2.974730377608207, 3.728867135450395]",0.005613472333600655,0.2294446268359499,"{1: 271, 2: 136, 3: 85, 4: 67, 5: 37}","{1: 126, 2: 74, 3: 42, 4: 40, 5: 16}","{1: 145, 2: 62, 3: 43, 4: 27, 5: 21}","{'specter_3s': 0.5, 'ridge_5x5': 0.25, 'llm_zs': 0.25}"
blend_3anchor_srl_45_30_25,0.6124958802203493,0.847233360064154,0.3785893136843246,"[1.8348894544623873, 2.3759995612599676, 2.9493358132760727, 3.6805109780013536]",0.013632718524458715,0.23280033153393648,"{1: 272, 2: 136, 3: 86, 4: 65, 5: 37}","{1: 123, 2: 77, 3: 42, 4: 40, 5: 16}","{1: 149, 2: 59, 3: 44, 4: 25, 5: 21}","{'specter_3s': 0.45, 'ridge_5x5': 0.3, 'llm_zs': 0.25}"
blend_specter_llm_70_30,0.611661471997748,0.8396150761828388,0.3842586876770061,"[1.7325724190703669, 2.4104141016675693, 3.122374611460542, 3.982607355452305]",0.016038492381716063,0.23951174092990962,"{1: 275, 2: 135, 3: 91, 4: 62, 5: 33}","{1: 130, 2: 70, 3: 47, 4: 36, 5: 15}","{1: 145, 2: 65, 3: 44, 4: 26, 5: 18}","{'specter_3s': 0.7, 'llm_zs': 0.30000000000000004}"
blend_3anchor_srl_50_20_30,0.607402741964673,0.8496391339214114,0.37681467451757084,"[1.7774403880173324, 2.3812246410521625, 2.98774822649239, 3.769856871236964]",0.00801924619085806,0.2495788550238694,"{1: 277, 2: 136, 3: 85, 4: 63, 5: 35}","{1: 127, 2: 75, 3: 42, 4: 39, 5: 15}","{1: 150, 2: 61, 3: 43, 4: 24, 5: 20}","{'specter_3s': 0.5, 'ridge_5x5': 0.2, 'llm_zs': 0.3}"
blend_3anchor_srl_40_30_30,0.5967814899008393,0.867682437850842,0.369064131604702,"[1.803000734926709, 2.3587535221267166, 2.8996196433459485, 3.6712581641584903]",0.0064153969526864335,0.23951174092990965,"{1: 271, 2: 139, 3: 85, 4: 65, 5: 36}","{1: 124, 2: 77, 3: 42, 4: 40, 5: 15}","{1: 147, 2: 62, 3: 43, 4: 25, 5: 21}","{'specter_3s': 0.4, 'ridge_5x5': 0.3, 'llm_zs': 0.3}"
blend_specter_llm_60_40,0.58895458737908,0.8688853247794708,0.3761234302552158,"[1.6590094800630206, 2.348544356950103, 3.011102894400526, 3.92059242885547]",0.007217321571772267,0.2462231503258828,"{1: 272, 2: 140, 3: 87, 4: 61, 5: 36}","{1: 129, 2: 73, 3: 43, 4: 37, 5: 16}","{1: 143, 2: 67, 3: 44, 4: 24, 5: 20}","{'specter_3s': 0.6, 'llm_zs': 0.4}"
blend_3anchor_srl_35_30_35,0.5792397867765746,0.8901363271852446,0.3600073535515882,"[1.7801826071760636, 2.3287094421683063, 2.8837470539693038, 3.712106519240278]",0.009623095429029657,0.25293455972185597,"{1: 277, 2: 137, 3: 87, 4: 63, 5: 32}","{1: 127, 2: 77, 3: 44, 4: 36, 5: 14}","{1: 150, 2: 60, 3: 43, 4: 27, 5: 18}","{'specter_3s': 0.35, 'ridge_5x5': 0.3, 'llm_zs': 0.35}"
blend_specter_llm_50_50,0.5559310613294417,0.9141940657578188,0.36169943651865366,"[1.5764804701232278, 2.267994647873007, 2.9626529868774316, 3.9238271143641033]",0.012830793905372909,0.2395117409299096,"{1: 271, 2: 139, 3: 98, 4: 55, 5: 33}","{1: 128, 2: 73, 3: 51, 4: 32, 5: 14}","{1: 143, 2: 66, 3: 47, 4: 23, 5: 19}","{'specter_3s': 0.5, 'llm_zs': 0.5}"
anchor_llm_zs_only,0.3752378422470024,1.086607858861267,0.30647057896821356,"[1.7853469839180596, 2.4799176253463826, 3.1701236492125937, 4.1245203562416455]",0.34803528468323974,0.5980097199722286,"{1: 394, 2: 78, 3: 76, 4: 18, 5: 30}","{1: 197, 2: 38, 3: 43, 4: 7, 5: 13}","{1: 197, 2: 40, 3: 33, 4: 11, 5: 17}",[1.0]
