doi_norm,openalex_found,openalex_error,openalex_id,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
10.4204/eptcs.385.1,True,,https://openalex.org/W4386211500,ABA Learning via ASP,2023.0,1.0,19.0,0.1713,False
10.4204/eptcs.385.10,True,,https://openalex.org/W4386211497,On the Potential of CLIP for Compositional Logical Reasoning,2023.0,1.0,14.0,0.1758,False
10.4204/eptcs.385.11,True,,https://openalex.org/W4386211517,Bottom-Up Stratified Probabilistic Logic Programming with Fusemate,2023.0,3.0,23.0,0.5274,False
10.4204/eptcs.385.12,True,,https://openalex.org/W4386211240,Generalizing Level Ranking Constraints for Monotone and Convex Aggregates,2023.0,1.0,36.0,0.1728,False
10.4204/eptcs.385.13,True,,https://openalex.org/W4386213017,Sorting Strategies for Interactive Conflict Resolution in ASP,2023.0,0.0,12.0,0.0,False
10.4204/eptcs.385.14,True,,https://openalex.org/W4386211109,Inductive Learning of Declarative Domain-Specific Heuristics for ASP,2023.0,0.0,21.0,0.0,False
10.4204/eptcs.385.16,True,,https://openalex.org/W4386211223,"Solving Recurrence Relations using Machine Learning, with Application to Cost Analysis",2023.0,1.0,18.0,0.1966,False
10.4204/eptcs.385.17,True,,https://openalex.org/W4386211080,On the Independencies Hidden in the Structure of a Probabilistic Logic Program,2023.0,0.0,14.0,0.0,False
10.4204/eptcs.385.18,True,,https://openalex.org/W4386211097,Understanding ProbLog as Probabilistic Argumentation,2023.0,0.0,28.0,0.0,False
10.4204/eptcs.385.20,True,,https://openalex.org/W4386211070,On Feasibility of Declarative Diagnosis,2023.0,1.0,20.0,0.1758,False
10.4204/eptcs.385.21,True,,https://openalex.org/W4386211095,Explainable and Trustworthy Traffic Sign Detection for Safe Autonomous Driving: An Inductive Logic Programming Approach,2023.0,3.0,44.0,0.5392,False
10.4204/eptcs.385.23,True,,https://openalex.org/W4386211494,A Logic Programming Approach to Global Logistics in a Co-Design Environment,2023.0,1.0,18.0,0.1758,False
10.4204/eptcs.385.24,True,,https://openalex.org/W4386211486,The Janus System: Multi-paradigm Programming in Prolog and Python,2023.0,4.0,16.0,1.8425,False
10.4204/eptcs.385.26,True,,https://openalex.org/W4386211069,Inferring Compensatory Kinase Networks in Yeast using Prolog,2023.0,0.0,12.0,0.0,False
10.4204/eptcs.385.27,True,,https://openalex.org/W4386211255,Reliable Natural Language Understanding with Large Language Models and Answer Set Programming,2023.0,17.0,31.0,2.9381,False
10.4204/eptcs.385.28,True,,https://openalex.org/W4386211104,"Leasing the Cloud-Edge Continuum, à la Carte",2023.0,0.0,18.0,0.0,False
10.4204/eptcs.385.3,True,,https://openalex.org/W4386211259,Benchmarking for Integrating Logic Rules with Everything Else,2023.0,2.0,24.0,0.3426,False
10.4204/eptcs.385.33,True,,https://openalex.org/W4386211451,"Demonstrating (Hybrid) Active Logic Documents and the Ciao Prolog Playground, and an Application to Verification Tutorials",2023.0,2.0,11.0,0.3516,False
10.4204/eptcs.385.35,True,,https://openalex.org/W4386211526,Nemo: First Glimpse of a New Rule Engine,2023.0,4.0,13.0,0.6852,False
10.4204/eptcs.385.38,True,,https://openalex.org/W4386211087,An xAI Approach for Data-to-Text Processing with ASP,2023.0,1.0,16.0,0.1728,False
10.4204/eptcs.385.39,True,,https://openalex.org/W4386211076,Deontic Paradoxes in ASP with Weak Constraints,2023.0,6.0,25.0,1.0548,False
10.4204/eptcs.385.5,True,,https://openalex.org/W4386211111,A Dataflow Analysis for Comparing and Reordering Predicate Arguments,2023.0,1.0,29.0,0.4606,False
10.4204/eptcs.385.50,True,,https://openalex.org/W4386211474,Penalization Framework For Autonomous Agents Using Answer Set Programming,2023.0,0.0,11.0,0.0,False
10.4204/eptcs.385.51,True,,https://openalex.org/W4386212956,Beyond Traditional Neural Networks: Toward adding Reasoning and Learning Capabilities through Computational Logic Techniques,2023.0,1.0,39.0,0.1737,False
10.4204/eptcs.385.52,True,,https://openalex.org/W4386211066,Explainable Answer-set Programming,2023.0,1.0,41.0,0.1758,False
10.4204/eptcs.385.9,True,,https://openalex.org/W4386211654,Towards One-Shot Learning for Text Classification using Inductive Logic Programming,2023.0,0.0,22.0,0.0,False
10.4204/eptcs.416.1,True,,https://openalex.org/W4407349612,On LLM-generated Logic Programs and their Inference Execution Methods,2025.0,1.0,15.0,2.2456,False
10.4204/eptcs.416.13,True,,https://openalex.org/W4407349580,Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration,2025.0,0.0,18.0,0.0,False
10.4204/eptcs.416.14,True,,https://openalex.org/W4407349622,Counterfactual Explanations as Plans,2025.0,0.0,42.0,0.0,False
10.4204/eptcs.416.15,True,,https://openalex.org/W4407349583,Abduction of Domain Relationships from Data for VQA,2025.0,0.0,7.0,0.0,False
10.4204/eptcs.416.16,True,,https://openalex.org/W4404680516,"Graphical Conditions for the Existence, Unicity and Number of Regular Models",2025.0,0.0,30.0,0.0,False
10.4204/eptcs.416.17,True,,https://openalex.org/W4407349591,Efficient OWL2QL Meta-reasoning Using ASP-based Hybrid Knowledge Bases,2025.0,1.0,14.0,2.6124,False
10.4204/eptcs.416.19,True,,https://openalex.org/W4407349564,ASP-driven User-interaction with Clinguin,2025.0,3.0,13.0,6.0693,False
10.4204/eptcs.416.2,True,,https://openalex.org/W4407349574,Visual Graph Question Answering with ASP and LLMs for Language Parsing,2025.0,1.0,30.0,1.163,False
10.4204/eptcs.416.20,True,,https://openalex.org/W4407349586,A Prolog Program for Bottom-up Evaluation,2025.0,0.0,4.0,0.0,False
10.4204/eptcs.416.21,True,,https://openalex.org/W4407349566,Regular Typed Unification,2025.0,0.0,25.0,0.0,False
10.4204/eptcs.416.22,True,,https://openalex.org/W4407349608,Order-Sorted Intensional Logic: Expressing Subtyping Polymorphism with Typing Assertions and Quantification over Concepts,2025.0,0.0,9.0,0.0,False
10.4204/eptcs.416.23,True,,https://openalex.org/W4407349669,A Coq Formalization of Unification Modulo Exclusive-Or,2025.0,0.0,19.0,0.0,False
10.4204/eptcs.416.24,True,,https://openalex.org/W4407349689,Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing,2025.0,0.0,28.0,0.0,False
10.4204/eptcs.416.30,True,,https://openalex.org/W4407349716,Generating Causally Compliant Counterfactual Explanations using ASP,2025.0,2.0,12.0,4.3079,False
10.4204/eptcs.416.32,True,,https://openalex.org/W4407349691,Computational methods for Dynamic Answer Set Programming,2025.0,0.0,46.0,0.0,False
10.4204/eptcs.416.33,True,,https://openalex.org/W4407349692,Relating Answer Set Programming and Many-sorted Logics for Formal Verification,2025.0,0.0,46.0,0.0,False
10.4204/eptcs.416.34,True,,https://openalex.org/W4407349678,Answer Set Counting and its Applications,2025.0,0.0,24.0,0.0,False
10.4204/eptcs.416.35,True,,https://openalex.org/W4407349698,Logical foundations of Smart Contracts,2025.0,0.0,31.0,0.0,False
10.4204/eptcs.416.36,True,,https://openalex.org/W4407349709,Commonsense Reasoning-Aided Autonomous Vehicle Systems,2025.0,0.0,15.0,0.0,False
10.4204/eptcs.416.37,True,,https://openalex.org/W4407349701,A Category-Theoretic Perspective on Approximation Fixpoint Theory,2025.0,0.0,29.0,0.0,False
10.4204/eptcs.416.38,True,,https://openalex.org/W4407349670,Hybrid Answer Set Programming: Foundations and Applications,2025.0,0.0,38.0,0.0,False
10.4204/eptcs.416.39,True,,https://openalex.org/W4407349683,Autonomous Task Completion Based on Goal-directed Answer Set Programming,2025.0,0.0,13.0,0.0,False
